First Name,Last Name,Full Name,Email Address,Alternative Gmail,Group Number,Group Link,Dpt. Associate Name,TM Associate Name,OBM Attendance,Filled OBM Form,Week 1,Week 2,Week 3,Week 4,Submitted Feedback Form,Submitted Reflective Video,Submitted Peer Evaluation Form,Submitted Self Evaluation Form,Missing Deliverables,Complete All Criteria,Status,Remarks,Communication Skills,Team Collaboration,Remote Work Adaptability,Self-Motivation and Initiative,Problem-Solving and Critical Thinking,"Manager Evaluation
Average","Peer Evaluation
Average","Self Evaluation
Average","Overall Evaluation
Percentage","Peer Evaluation
>=70%",Star Performer
Hassan ,Bhassan,Hassan Bhassan,hass@yohu.com,hass@gmailcom,1,,Darwin,Ajlal,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Eligible,,Goofy,4,3,2,1,1,44,80,90,80,Internship Completed,Not A Star Performer
Shasan ,Masan ,Shasan Masan,sass@yuhu.com,sass@gmail.com,2,,Darwin,Ajlal,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Eligible,,Doofy,5,4,3,2,1,60,85,93,82,Internship Completed,Not A Star Performer
Celia,Five,Celia Five,cel@yuhu.com,cel@gmail.com,3,,Darwin,Ajlal,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Not Eligible,,,,,,,,0,,,,Not Completed,Not A Star Performer
Mordecai,Morphus,Mordecai Morphus,mor@gmail.com,,1,,Darwin,Ajlal,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Eligible,,Good ,5,4,5,4,5,92,83,92,85,Internship Completed,Not A Star Performer
Benson ,Benson,Benson Benson,ben@gmail.com,,2,,Darwin,Ajlal,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,Not Eligible,,,,,,,,0,,,,Not Completed,Not A Star Performer
Eileen,Rigby,Eileen Rigby,eil@gmail.com,,3,,Darwin,Ajlal,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Eligible,,Workaholic,5,5,5,5,4,96,86,96,92,Internship Completed,Star Performer
Skips ,Dips,Skips  Dips,skips@yuhu.com,skips@gmail.com,1,,Darwin,Ajlal,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Eligible,,Ooooooooo,4,4,4,4,5,84,92,100,95,Internship Completed,Star Performer
Crisp,Wings,Crisp Wings,wings@bling.com,wings@gmail.com,2,,Darwin,Ajlal,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,Not Eligible,,,,,,,,0,,,,Not Completed,Not A Star Performer
Pops,Mellard,Pops Mellard,pops@yuhu.com,pops@gmail.com,3,,Darwin,Ajlal,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,Not Eligible,,,,,,,,0,,,,Not Completed,Not A Star Performer
Qasim ,Ajlal,Qasim  Ajlal,ajlal@yuhu.com,aj@gmail.com,2,,Darwin,Ajlal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Not Eligible,Voluntary Resignation,Stupid.,,,,,,0,,,,Not Completed,Not A Star Performer
,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Not Eligible,,,,,,,,0,,,,Not Completed,Not A Star Performer
,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Not Eligible,,,,,,,,0,,,,Not Completed,Not A Star Performer
,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Not Eligible,,,,,,,,0,,,,Not Completed,Not A Star Performer
,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Not Eligible,,,,,,,,0,,,,Not Completed,Not A Star Performer
,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Not Eligible,,,,,,,,0,,,,Not Completed,Not A Star Performer
,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Not Eligible,,,,,,,,0,,,,Not Completed,Not A Star Performer
,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Not Eligible,,,,,,,,0,,,,Not Completed,Not A Star Performer
,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Not Eligible,,,,,,,,0,,,,Not Completed,Not A Star Performer
,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Not Eligible,,,,,,,,0,,,,Not Completed,Not A Star Performer
,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Not Eligible,,,,,,,,0,,,,Not Completed,Not A Star Performer
